image_a,image_b,label,identity_a,identity_b,pair_type,cosine_similarity
D:\biztech\preprocessed_images\person_389\img_01.jpg,D:\biztech\preprocessed_images\person_389\img_04.jpg,1,person_389,person_389,positive,0.675595
D:\biztech\preprocessed_images\person_167\img_09.jpg,D:\biztech\preprocessed_images\person_430\img_02.jpg,0,person_167,person_430,negative,0.289694
D:\biztech\preprocessed_images\person_090\img_03.jpg,D:\biztech\preprocessed_images\person_090\img_08.jpg,1,person_090,person_090,positive,0.667140
D:\biztech\preprocessed_images\person_596\img_02.jpg,D:\biztech\preprocessed_images\person_168\img_07.jpg,0,person_596,person_168,negative,0.485799
D:\biztech\preprocessed_images\person_277\img_02.jpg,D:\biztech\preprocessed_images\person_374\img_04.jpg,0,person_277,person_374,negative,0.529167
D:\biztech\preprocessed_images\person_388\img_04.jpg,D:\biztech\preprocessed_images\person_217\img_05.jpg,0,person_388,person_217,negative,-0.053837
D:\biztech\preprocessed_images\person_587\img_03.jpg,D:\biztech\preprocessed_images\person_559\img_03.jpg,0,person_587,person_559,negative,0.261073
D:\biztech\preprocessed_images\person_082\img_12.jpg,D:\biztech\preprocessed_images\person_082\img_17.jpg,1,person_082,person_082,positive,0.837556
D:\biztech\preprocessed_images\person_082\img_11.jpg,D:\biztech\preprocessed_images\person_082\img_13.jpg,1,person_082,person_082,positive,0.932277
D:\biztech\preprocessed_images\person_081\img_02.jpg,D:\biztech\preprocessed_images\person_576\img_02.jpg,0,person_081,person_576,negative,0.136538
D:\biztech\preprocessed_images\person_225\img_01.jpg,D:\biztech\preprocessed_images\person_105\img_01.jpg,0,person_225,person_105,negative,0.049759
D:\biztech\preprocessed_images\person_167\img_02.jpg,D:\biztech\preprocessed_images\person_217\img_02.jpg,0,person_167,person_217,negative,-0.088915
D:\biztech\preprocessed_images\person_115\img_04.jpg,D:\biztech\preprocessed_images\person_115\img_10.jpg,1,person_115,person_115,positive,0.366850
D:\biztech\preprocessed_images\person_333\img_01.jpg,D:\biztech\preprocessed_images\person_605\img_04.jpg,0,person_333,person_605,negative,-0.036403
D:\biztech\preprocessed_images\person_007\img_24.jpg,D:\biztech\preprocessed_images\person_007\img_35.jpg,1,person_007,person_007,positive,0.448316
D:\biztech\preprocessed_images\person_353\img_03.jpg,D:\biztech\preprocessed_images\person_168\img_04.jpg,0,person_353,person_168,negative,-0.128471
D:\biztech\preprocessed_images\person_239\img_02.jpg,D:\biztech\preprocessed_images\person_239\img_06.jpg,1,person_239,person_239,positive,0.411347
D:\biztech\preprocessed_images\person_575\img_03.jpg,D:\biztech\preprocessed_images\person_168\img_08.jpg,0,person_575,person_168,negative,-0.157226
D:\biztech\preprocessed_images\person_229\img_03.jpg,D:\biztech\preprocessed_images\person_229\img_07.jpg,1,person_229,person_229,positive,0.879047
D:\biztech\preprocessed_images\person_605\img_02.jpg,D:\biztech\preprocessed_images\person_081\img_05.jpg,0,person_605,person_081,negative,-0.008752
D:\biztech\preprocessed_images\person_147\img_05.jpg,D:\biztech\preprocessed_images\person_147\img_08.jpg,1,person_147,person_147,positive,0.774745
D:\biztech\preprocessed_images\person_275\img_01.jpg,D:\biztech\preprocessed_images\person_229\img_06.jpg,0,person_275,person_229,negative,0.029336
D:\biztech\preprocessed_images\person_272\img_01.jpg,D:\biztech\preprocessed_images\person_272\img_05.jpg,1,person_272,person_272,positive,0.859477
D:\biztech\preprocessed_images\person_176\img_01.jpg,D:\biztech\preprocessed_images\person_349\img_04.jpg,0,person_176,person_349,negative,0.023807
D:\biztech\preprocessed_images\person_074\img_12.jpg,D:\biztech\preprocessed_images\person_074\img_15.jpg,1,person_074,person_074,positive,0.821102
D:\biztech\preprocessed_images\person_128\img_05.jpg,D:\biztech\preprocessed_images\person_128\img_06.jpg,1,person_128,person_128,positive,0.640733
D:\biztech\preprocessed_images\person_221\img_05.jpg,D:\biztech\preprocessed_images\person_587\img_01.jpg,0,person_221,person_587,negative,0.277919
D:\biztech\preprocessed_images\person_031\img_22.jpg,D:\biztech\preprocessed_images\person_031\img_30.jpg,1,person_031,person_031,positive,0.499808
D:\biztech\preprocessed_images\person_270\img_01.jpg,D:\biztech\preprocessed_images\person_270\img_02.jpg,1,person_270,person_270,positive,0.594343
D:\biztech\preprocessed_images\person_147\img_09.jpg,D:\biztech\preprocessed_images\person_275\img_03.jpg,0,person_147,person_275,negative,0.094601
D:\biztech\preprocessed_images\person_388\img_01.jpg,D:\biztech\preprocessed_images\person_388\img_05.jpg,1,person_388,person_388,positive,0.877782
D:\biztech\preprocessed_images\person_270\img_01.jpg,D:\biztech\preprocessed_images\person_270\img_05.jpg,1,person_270,person_270,positive,0.691215
D:\biztech\preprocessed_images\person_596\img_02.jpg,D:\biztech\preprocessed_images\person_518\img_02.jpg,0,person_596,person_518,negative,0.286413
D:\biztech\preprocessed_images\person_234\img_01.jpg,D:\biztech\preprocessed_images\person_234\img_02.jpg,1,person_234,person_234,positive,0.724300
D:\biztech\preprocessed_images\person_090\img_10.jpg,D:\biztech\preprocessed_images\person_090\img_15.jpg,1,person_090,person_090,positive,0.617776
D:\biztech\preprocessed_images\person_031\img_07.jpg,D:\biztech\preprocessed_images\person_031\img_21.jpg,1,person_031,person_031,positive,0.684347
D:\biztech\preprocessed_images\person_074\img_08.jpg,D:\biztech\preprocessed_images\person_115\img_05.jpg,0,person_074,person_115,negative,0.096098
D:\biztech\preprocessed_images\person_234\img_01.jpg,D:\biztech\preprocessed_images\person_234\img_04.jpg,1,person_234,person_234,positive,0.785966
D:\biztech\preprocessed_images\person_081\img_07.jpg,D:\biztech\preprocessed_images\person_371\img_03.jpg,0,person_081,person_371,negative,-0.110610
D:\biztech\preprocessed_images\person_251\img_03.jpg,D:\biztech\preprocessed_images\person_285\img_03.jpg,0,person_251,person_285,negative,0.318223
D:\biztech\preprocessed_images\person_026\img_19.jpg,D:\biztech\preprocessed_images\person_026\img_30.jpg,1,person_026,person_026,positive,0.349414
D:\biztech\preprocessed_images\person_353\img_01.jpg,D:\biztech\preprocessed_images\person_559\img_02.jpg,0,person_353,person_559,negative,-0.261248
D:\biztech\preprocessed_images\person_197\img_06.jpg,D:\biztech\preprocessed_images\person_197\img_08.jpg,1,person_197,person_197,positive,0.529963
D:\biztech\preprocessed_images\person_406\img_02.jpg,D:\biztech\preprocessed_images\person_406\img_03.jpg,1,person_406,person_406,positive,0.515308
D:\biztech\preprocessed_images\person_147\img_01.jpg,D:\biztech\preprocessed_images\person_147\img_02.jpg,1,person_147,person_147,positive,0.549239
D:\biztech\preprocessed_images\person_176\img_03.jpg,D:\biztech\preprocessed_images\person_176\img_04.jpg,1,person_176,person_176,positive,0.679656
D:\biztech\preprocessed_images\person_390\img_02.jpg,D:\biztech\preprocessed_images\person_388\img_05.jpg,0,person_390,person_388,negative,-0.085978
D:\biztech\preprocessed_images\person_033\img_17.jpg,D:\biztech\preprocessed_images\person_033\img_28.jpg,1,person_033,person_033,positive,0.258979
D:\biztech\preprocessed_images\person_082\img_04.jpg,D:\biztech\preprocessed_images\person_082\img_15.jpg,1,person_082,person_082,positive,0.744768
D:\biztech\preprocessed_images\person_058\img_01.jpg,D:\biztech\preprocessed_images\person_058\img_03.jpg,1,person_058,person_058,positive,0.566356
D:\biztech\preprocessed_images\person_095\img_08.jpg,D:\biztech\preprocessed_images\person_095\img_15.jpg,1,person_095,person_095,positive,0.727209
D:\biztech\preprocessed_images\person_176\img_04.jpg,D:\biztech\preprocessed_images\person_274\img_04.jpg,0,person_176,person_274,negative,0.178637
D:\biztech\preprocessed_images\person_160\img_01.jpg,D:\biztech\preprocessed_images\person_160\img_07.jpg,1,person_160,person_160,positive,0.464619
D:\biztech\preprocessed_images\person_104\img_05.jpg,D:\biztech\preprocessed_images\person_104\img_13.jpg,1,person_104,person_104,positive,0.536748
D:\biztech\preprocessed_images\person_115\img_05.jpg,D:\biztech\preprocessed_images\person_115\img_09.jpg,1,person_115,person_115,positive,0.360637
D:\biztech\preprocessed_images\person_272\img_06.jpg,D:\biztech\preprocessed_images\person_225\img_02.jpg,0,person_272,person_225,negative,-0.081154
D:\biztech\preprocessed_images\person_105\img_04.jpg,D:\biztech\preprocessed_images\person_105\img_06.jpg,1,person_105,person_105,positive,0.547335
D:\biztech\preprocessed_images\person_058\img_14.jpg,D:\biztech\preprocessed_images\person_028\img_04.jpg,0,person_058,person_028,negative,0.068902
D:\biztech\preprocessed_images\person_345\img_02.jpg,D:\biztech\preprocessed_images\person_345\img_05.jpg,1,person_345,person_345,positive,0.464716
D:\biztech\preprocessed_images\person_364\img_01.jpg,D:\biztech\preprocessed_images\person_364\img_02.jpg,1,person_364,person_364,positive,0.689982
D:\biztech\preprocessed_images\person_297\img_01.jpg,D:\biztech\preprocessed_images\person_081\img_14.jpg,0,person_297,person_081,negative,0.062099
D:\biztech\preprocessed_images\person_082\img_16.jpg,D:\biztech\preprocessed_images\person_047\img_05.jpg,0,person_082,person_047,negative,-0.160979
D:\biztech\preprocessed_images\person_333\img_01.jpg,D:\biztech\preprocessed_images\person_028\img_07.jpg,0,person_333,person_028,negative,-0.296725
D:\biztech\preprocessed_images\person_031\img_20.jpg,D:\biztech\preprocessed_images\person_465\img_01.jpg,0,person_031,person_465,negative,0.087660
D:\biztech\preprocessed_images\person_105\img_05.jpg,D:\biztech\preprocessed_images\person_105\img_11.jpg,1,person_105,person_105,positive,0.924657
D:\biztech\preprocessed_images\person_028\img_07.jpg,D:\biztech\preprocessed_images\person_028\img_13.jpg,1,person_028,person_028,positive,0.838486
D:\biztech\preprocessed_images\person_474\img_01.jpg,D:\biztech\preprocessed_images\person_474\img_04.jpg,1,person_474,person_474,positive,0.513500
D:\biztech\preprocessed_images\person_204\img_02.jpg,D:\biztech\preprocessed_images\person_204\img_07.jpg,1,person_204,person_204,positive,0.262397
D:\biztech\preprocessed_images\person_031\img_05.jpg,D:\biztech\preprocessed_images\person_031\img_11.jpg,1,person_031,person_031,positive,0.605893
D:\biztech\preprocessed_images\person_095\img_02.jpg,D:\biztech\preprocessed_images\person_218\img_07.jpg,0,person_095,person_218,negative,-0.094643
D:\biztech\preprocessed_images\person_323\img_02.jpg,D:\biztech\preprocessed_images\person_323\img_03.jpg,1,person_323,person_323,positive,0.511310
D:\biztech\preprocessed_images\person_074\img_11.jpg,D:\biztech\preprocessed_images\person_470\img_03.jpg,0,person_074,person_470,negative,-0.154453
D:\biztech\preprocessed_images\person_512\img_04.jpg,D:\biztech\preprocessed_images\person_371\img_05.jpg,0,person_512,person_371,negative,-0.011727
D:\biztech\preprocessed_images\person_033\img_03.jpg,D:\biztech\preprocessed_images\person_596\img_02.jpg,0,person_033,person_596,negative,0.001351
D:\biztech\preprocessed_images\person_234\img_02.jpg,D:\biztech\preprocessed_images\person_234\img_03.jpg,1,person_234,person_234,positive,0.545286
D:\biztech\preprocessed_images\person_221\img_02.jpg,D:\biztech\preprocessed_images\person_221\img_03.jpg,1,person_221,person_221,positive,0.780491
D:\biztech\preprocessed_images\person_234\img_02.jpg,D:\biztech\preprocessed_images\person_234\img_07.jpg,1,person_234,person_234,positive,0.627336
D:\biztech\preprocessed_images\person_411\img_01.jpg,D:\biztech\preprocessed_images\person_270\img_02.jpg,0,person_411,person_270,negative,-0.278540
D:\biztech\preprocessed_images\person_128\img_02.jpg,D:\biztech\preprocessed_images\person_128\img_10.jpg,1,person_128,person_128,positive,0.629349
D:\biztech\preprocessed_images\person_282\img_03.jpg,D:\biztech\preprocessed_images\person_282\img_04.jpg,1,person_282,person_282,positive,0.702314
D:\biztech\preprocessed_images\person_147\img_03.jpg,D:\biztech\preprocessed_images\person_147\img_09.jpg,1,person_147,person_147,positive,0.751798
D:\biztech\preprocessed_images\person_164\img_06.jpg,D:\biztech\preprocessed_images\person_164\img_07.jpg,1,person_164,person_164,positive,0.733689
D:\biztech\preprocessed_images\person_229\img_02.jpg,D:\biztech\preprocessed_images\person_229\img_05.jpg,1,person_229,person_229,positive,0.839989
D:\biztech\preprocessed_images\person_047\img_02.jpg,D:\biztech\preprocessed_images\person_047\img_10.jpg,1,person_047,person_047,positive,0.275856
D:\biztech\preprocessed_images\person_167\img_02.jpg,D:\biztech\preprocessed_images\person_167\img_05.jpg,1,person_167,person_167,positive,0.653928
D:\biztech\preprocessed_images\person_026\img_20.jpg,D:\biztech\preprocessed_images\person_026\img_26.jpg,1,person_026,person_026,positive,0.828843
D:\biztech\preprocessed_images\person_604\img_04.jpg,D:\biztech\preprocessed_images\person_164\img_01.jpg,0,person_604,person_164,negative,0.114432
D:\biztech\preprocessed_images\person_215\img_02.jpg,D:\biztech\preprocessed_images\person_215\img_07.jpg,1,person_215,person_215,positive,0.829911
D:\biztech\preprocessed_images\person_026\img_02.jpg,D:\biztech\preprocessed_images\person_095\img_08.jpg,0,person_026,person_095,negative,-0.114996
D:\biztech\preprocessed_images\person_058\img_02.jpg,D:\biztech\preprocessed_images\person_058\img_04.jpg,1,person_058,person_058,positive,0.636478
D:\biztech\preprocessed_images\person_058\img_07.jpg,D:\biztech\preprocessed_images\person_058\img_08.jpg,1,person_058,person_058,positive,0.879646
D:\biztech\preprocessed_images\person_128\img_04.jpg,D:\biztech\preprocessed_images\person_576\img_02.jpg,0,person_128,person_576,negative,-0.136024
D:\biztech\preprocessed_images\person_147\img_02.jpg,D:\biztech\preprocessed_images\person_147\img_04.jpg,1,person_147,person_147,positive,0.534044
D:\biztech\preprocessed_images\person_026\img_04.jpg,D:\biztech\preprocessed_images\person_026\img_24.jpg,1,person_026,person_026,positive,0.824761
D:\biztech\preprocessed_images\person_430\img_04.jpg,D:\biztech\preprocessed_images\person_368\img_01.jpg,0,person_430,person_368,negative,0.040209
D:\biztech\preprocessed_images\person_224\img_01.jpg,D:\biztech\preprocessed_images\person_045\img_16.jpg,0,person_224,person_045,negative,0.184598
D:\biztech\preprocessed_images\person_297\img_04.jpg,D:\biztech\preprocessed_images\person_460\img_04.jpg,0,person_297,person_460,negative,0.398268
D:\biztech\preprocessed_images\person_081\img_11.jpg,D:\biztech\preprocessed_images\person_081\img_14.jpg,1,person_081,person_081,positive,0.678054
D:\biztech\preprocessed_images\person_160\img_02.jpg,D:\biztech\preprocessed_images\person_160\img_07.jpg,1,person_160,person_160,positive,0.690281
D:\biztech\preprocessed_images\person_282\img_04.jpg,D:\biztech\preprocessed_images\person_275\img_04.jpg,0,person_282,person_275,negative,-0.080697
D:\biztech\preprocessed_images\person_105\img_02.jpg,D:\biztech\preprocessed_images\person_105\img_13.jpg,1,person_105,person_105,positive,0.552711
D:\biztech\preprocessed_images\person_058\img_09.jpg,D:\biztech\preprocessed_images\person_058\img_17.jpg,1,person_058,person_058,positive,0.360409
D:\biztech\preprocessed_images\person_221\img_06.jpg,D:\biztech\preprocessed_images\person_576\img_02.jpg,0,person_221,person_576,negative,0.227374
D:\biztech\preprocessed_images\person_390\img_01.jpg,D:\biztech\preprocessed_images\person_031\img_30.jpg,0,person_390,person_031,negative,0.079979
D:\biztech\preprocessed_images\person_374\img_05.jpg,D:\biztech\preprocessed_images\person_324\img_01.jpg,0,person_374,person_324,negative,-0.362391
D:\biztech\preprocessed_images\person_115\img_01.jpg,D:\biztech\preprocessed_images\person_215\img_05.jpg,0,person_115,person_215,negative,0.119150
D:\biztech\preprocessed_images\person_333\img_04.jpg,D:\biztech\preprocessed_images\person_297\img_04.jpg,0,person_333,person_297,negative,0.132314
D:\biztech\preprocessed_images\person_229\img_07.jpg,D:\biztech\preprocessed_images\person_104\img_04.jpg,0,person_229,person_104,negative,-0.102413
D:\biztech\preprocessed_images\person_603\img_03.jpg,D:\biztech\preprocessed_images\person_603\img_04.jpg,1,person_603,person_603,positive,0.734698
D:\biztech\preprocessed_images\person_095\img_01.jpg,D:\biztech\preprocessed_images\person_095\img_03.jpg,1,person_095,person_095,positive,0.632548
D:\biztech\preprocessed_images\person_128\img_02.jpg,D:\biztech\preprocessed_images\person_128\img_07.jpg,1,person_128,person_128,positive,0.642852
D:\biztech\preprocessed_images\person_374\img_03.jpg,D:\biztech\preprocessed_images\person_143\img_06.jpg,0,person_374,person_143,negative,-0.111461
D:\biztech\preprocessed_images\person_460\img_04.jpg,D:\biztech\preprocessed_images\person_333\img_02.jpg,0,person_460,person_333,negative,0.336437
D:\biztech\preprocessed_images\person_411\img_05.jpg,D:\biztech\preprocessed_images\person_224\img_03.jpg,0,person_411,person_224,negative,0.354438
D:\biztech\preprocessed_images\person_100\img_02.jpg,D:\biztech\preprocessed_images\person_100\img_14.jpg,1,person_100,person_100,positive,0.613524
D:\biztech\preprocessed_images\person_270\img_03.jpg,D:\biztech\preprocessed_images\person_550\img_03.jpg,0,person_270,person_550,negative,-0.114743
D:\biztech\preprocessed_images\person_197\img_01.jpg,D:\biztech\preprocessed_images\person_197\img_05.jpg,1,person_197,person_197,positive,0.619035
D:\biztech\preprocessed_images\person_272\img_04.jpg,D:\biztech\preprocessed_images\person_272\img_05.jpg,1,person_272,person_272,positive,0.675799
D:\biztech\preprocessed_images\person_100\img_10.jpg,D:\biztech\preprocessed_images\person_100\img_13.jpg,1,person_100,person_100,positive,0.719500
D:\biztech\preprocessed_images\person_601\img_04.jpg,D:\biztech\preprocessed_images\person_275\img_04.jpg,0,person_601,person_275,negative,-0.274338
D:\biztech\preprocessed_images\person_128\img_08.jpg,D:\biztech\preprocessed_images\person_576\img_03.jpg,0,person_128,person_576,negative,-0.232933
D:\biztech\preprocessed_images\person_081\img_11.jpg,D:\biztech\preprocessed_images\person_518\img_04.jpg,0,person_081,person_518,negative,0.324082
D:\biztech\preprocessed_images\person_204\img_05.jpg,D:\biztech\preprocessed_images\person_028\img_31.jpg,0,person_204,person_028,negative,0.068713
D:\biztech\preprocessed_images\person_143\img_01.jpg,D:\biztech\preprocessed_images\person_143\img_09.jpg,1,person_143,person_143,positive,0.743188
D:\biztech\preprocessed_images\person_323\img_04.jpg,D:\biztech\preprocessed_images\person_104\img_09.jpg,0,person_323,person_104,negative,0.122086
D:\biztech\preprocessed_images\person_168\img_09.jpg,D:\biztech\preprocessed_images\person_271\img_02.jpg,0,person_168,person_271,negative,0.375957
D:\biztech\preprocessed_images\person_100\img_11.jpg,D:\biztech\preprocessed_images\person_100\img_14.jpg,1,person_100,person_100,positive,0.606980
D:\biztech\preprocessed_images\person_074\img_03.jpg,D:\biztech\preprocessed_images\person_074\img_08.jpg,1,person_074,person_074,positive,0.799152
D:\biztech\preprocessed_images\person_518\img_01.jpg,D:\biztech\preprocessed_images\person_353\img_04.jpg,0,person_518,person_353,negative,0.090508
D:\biztech\preprocessed_images\person_270\img_06.jpg,D:\biztech\preprocessed_images\person_275\img_06.jpg,0,person_270,person_275,negative,-0.323573
D:\biztech\preprocessed_images\person_058\img_08.jpg,D:\biztech\preprocessed_images\person_045\img_22.jpg,0,person_058,person_045,negative,0.183456
D:\biztech\preprocessed_images\person_253\img_04.jpg,D:\biztech\preprocessed_images\person_297\img_05.jpg,0,person_253,person_297,negative,0.125865
D:\biztech\preprocessed_images\person_095\img_14.jpg,D:\biztech\preprocessed_images\person_270\img_03.jpg,0,person_095,person_270,negative,0.317366
D:\biztech\preprocessed_images\person_226\img_01.jpg,D:\biztech\preprocessed_images\person_226\img_07.jpg,1,person_226,person_226,positive,0.469633
D:\biztech\preprocessed_images\person_160\img_01.jpg,D:\biztech\preprocessed_images\person_160\img_06.jpg,1,person_160,person_160,positive,0.576982
D:\biztech\preprocessed_images\person_104\img_08.jpg,D:\biztech\preprocessed_images\person_270\img_01.jpg,0,person_104,person_270,negative,-0.301012
D:\biztech\preprocessed_images\person_433\img_01.jpg,D:\biztech\preprocessed_images\person_433\img_04.jpg,1,person_433,person_433,positive,0.352698
D:\biztech\preprocessed_images\person_095\img_06.jpg,D:\biztech\preprocessed_images\person_364\img_03.jpg,0,person_095,person_364,negative,-0.091407
D:\biztech\preprocessed_images\person_380\img_03.jpg,D:\biztech\preprocessed_images\person_380\img_05.jpg,1,person_380,person_380,positive,0.632525
D:\biztech\preprocessed_images\person_074\img_14.jpg,D:\biztech\preprocessed_images\person_074\img_17.jpg,1,person_074,person_074,positive,0.733294
D:\biztech\preprocessed_images\person_371\img_04.jpg,D:\biztech\preprocessed_images\person_576\img_02.jpg,0,person_371,person_576,negative,-0.156477
D:\biztech\preprocessed_images\person_100\img_03.jpg,D:\biztech\preprocessed_images\person_090\img_02.jpg,0,person_100,person_090,negative,-0.059612
D:\biztech\preprocessed_images\person_277\img_04.jpg,D:\biztech\preprocessed_images\person_297\img_02.jpg,0,person_277,person_297,negative,0.062205
D:\biztech\preprocessed_images\person_406\img_04.jpg,D:\biztech\preprocessed_images\person_096\img_10.jpg,0,person_406,person_096,negative,0.111791
D:\biztech\preprocessed_images\person_176\img_01.jpg,D:\biztech\preprocessed_images\person_176\img_09.jpg,1,person_176,person_176,positive,0.762399
D:\biztech\preprocessed_images\person_253\img_01.jpg,D:\biztech\preprocessed_images\person_253\img_05.jpg,1,person_253,person_253,positive,0.356514
D:\biztech\preprocessed_images\person_380\img_05.jpg,D:\biztech\preprocessed_images\person_575\img_03.jpg,0,person_380,person_575,negative,-0.381226
D:\biztech\preprocessed_images\person_224\img_04.jpg,D:\biztech\preprocessed_images\person_433\img_01.jpg,0,person_224,person_433,negative,-0.084965
D:\biztech\preprocessed_images\person_460\img_03.jpg,D:\biztech\preprocessed_images\person_225\img_01.jpg,0,person_460,person_225,negative,0.281429
D:\biztech\preprocessed_images\person_128\img_08.jpg,D:\biztech\preprocessed_images\person_128\img_11.jpg,1,person_128,person_128,positive,0.816685
D:\biztech\preprocessed_images\person_143\img_01.jpg,D:\biztech\preprocessed_images\person_143\img_03.jpg,1,person_143,person_143,positive,0.879373
D:\biztech\preprocessed_images\person_058\img_05.jpg,D:\biztech\preprocessed_images\person_058\img_11.jpg,1,person_058,person_058,positive,-0.000257
D:\biztech\preprocessed_images\person_353\img_02.jpg,D:\biztech\preprocessed_images\person_576\img_01.jpg,0,person_353,person_576,negative,0.006855
D:\biztech\preprocessed_images\person_217\img_01.jpg,D:\biztech\preprocessed_images\person_217\img_06.jpg,1,person_217,person_217,positive,0.865230
D:\biztech\preprocessed_images\person_072\img_13.jpg,D:\biztech\preprocessed_images\person_297\img_02.jpg,0,person_072,person_297,negative,0.308446
D:\biztech\preprocessed_images\person_007\img_09.jpg,D:\biztech\preprocessed_images\person_007\img_17.jpg,1,person_007,person_007,positive,-0.067490
D:\biztech\preprocessed_images\person_081\img_12.jpg,D:\biztech\preprocessed_images\person_081\img_13.jpg,1,person_081,person_081,positive,0.611787
D:\biztech\preprocessed_images\person_217\img_05.jpg,D:\biztech\preprocessed_images\person_217\img_08.jpg,1,person_217,person_217,positive,0.666377
D:\biztech\preprocessed_images\person_271\img_06.jpg,D:\biztech\preprocessed_images\person_221\img_05.jpg,0,person_271,person_221,negative,-0.238001
D:\biztech\preprocessed_images\person_349\img_03.jpg,D:\biztech\preprocessed_images\person_349\img_04.jpg,1,person_349,person_349,positive,0.509117
D:\biztech\preprocessed_images\person_026\img_23.jpg,D:\biztech\preprocessed_images\person_345\img_03.jpg,0,person_026,person_345,negative,0.034195
D:\biztech\preprocessed_images\person_033\img_01.jpg,D:\biztech\preprocessed_images\person_225\img_01.jpg,0,person_033,person_225,negative,-0.105262
D:\biztech\preprocessed_images\person_074\img_10.jpg,D:\biztech\preprocessed_images\person_074\img_12.jpg,1,person_074,person_074,positive,0.693699
D:\biztech\preprocessed_images\person_601\img_04.jpg,D:\biztech\preprocessed_images\person_224\img_04.jpg,0,person_601,person_224,negative,0.425442
D:\biztech\preprocessed_images\person_031\img_27.jpg,D:\biztech\preprocessed_images\person_374\img_05.jpg,0,person_031,person_374,negative,-0.056974
D:\biztech\preprocessed_images\person_100\img_09.jpg,D:\biztech\preprocessed_images\person_100\img_12.jpg,1,person_100,person_100,positive,0.538915
D:\biztech\preprocessed_images\person_600\img_02.jpg,D:\biztech\preprocessed_images\person_600\img_03.jpg,1,person_600,person_600,positive,0.736226
D:\biztech\preprocessed_images\person_550\img_01.jpg,D:\biztech\preprocessed_images\person_550\img_03.jpg,1,person_550,person_550,positive,0.688616
D:\biztech\preprocessed_images\person_345\img_03.jpg,D:\biztech\preprocessed_images\person_345\img_05.jpg,1,person_345,person_345,positive,0.505492
D:\biztech\preprocessed_images\person_128\img_03.jpg,D:\biztech\preprocessed_images\person_128\img_07.jpg,1,person_128,person_128,positive,0.672660
D:\biztech\preprocessed_images\person_282\img_01.jpg,D:\biztech\preprocessed_images\person_430\img_02.jpg,0,person_282,person_430,negative,-0.128049
D:\biztech\preprocessed_images\person_224\img_04.jpg,D:\biztech\preprocessed_images\person_128\img_01.jpg,0,person_224,person_128,negative,0.339723
D:\biztech\preprocessed_images\person_081\img_08.jpg,D:\biztech\preprocessed_images\person_081\img_11.jpg,1,person_081,person_081,positive,0.717625
D:\biztech\preprocessed_images\person_601\img_03.jpg,D:\biztech\preprocessed_images\person_601\img_04.jpg,1,person_601,person_601,positive,0.518387
D:\biztech\preprocessed_images\person_277\img_04.jpg,D:\biztech\preprocessed_images\person_147\img_09.jpg,0,person_277,person_147,negative,0.099841
D:\biztech\preprocessed_images\person_033\img_09.jpg,D:\biztech\preprocessed_images\person_275\img_06.jpg,0,person_033,person_275,negative,0.205287
D:\biztech\preprocessed_images\person_100\img_03.jpg,D:\biztech\preprocessed_images\person_100\img_09.jpg,1,person_100,person_100,positive,0.806193
D:\biztech\preprocessed_images\person_364\img_01.jpg,D:\biztech\preprocessed_images\person_072\img_11.jpg,0,person_364,person_072,negative,0.165692
D:\biztech\preprocessed_images\person_225\img_01.jpg,D:\biztech\preprocessed_images\person_364\img_01.jpg,0,person_225,person_364,negative,-0.130228
D:\biztech\preprocessed_images\person_471\img_02.jpg,D:\biztech\preprocessed_images\person_270\img_06.jpg,0,person_471,person_270,negative,-0.153384
D:\biztech\preprocessed_images\person_047\img_14.jpg,D:\biztech\preprocessed_images\person_047\img_17.jpg,1,person_047,person_047,positive,0.675924
D:\biztech\preprocessed_images\person_100\img_04.jpg,D:\biztech\preprocessed_images\person_100\img_13.jpg,1,person_100,person_100,positive,0.812628
D:\biztech\preprocessed_images\person_601\img_01.jpg,D:\biztech\preprocessed_images\person_411\img_02.jpg,0,person_601,person_411,negative,-0.002745
D:\biztech\preprocessed_images\person_605\img_01.jpg,D:\biztech\preprocessed_images\person_605\img_02.jpg,1,person_605,person_605,positive,0.663703
D:\biztech\preprocessed_images\person_601\img_04.jpg,D:\biztech\preprocessed_images\person_215\img_02.jpg,0,person_601,person_215,negative,-0.179379
D:\biztech\preprocessed_images\person_217\img_03.jpg,D:\biztech\preprocessed_images\person_218\img_06.jpg,0,person_217,person_218,negative,0.126125
D:\biztech\preprocessed_images\person_217\img_08.jpg,D:\biztech\preprocessed_images\person_045\img_07.jpg,0,person_217,person_045,negative,-0.011706
D:\biztech\preprocessed_images\person_100\img_03.jpg,D:\biztech\preprocessed_images\person_100\img_14.jpg,1,person_100,person_100,positive,0.463502
D:\biztech\preprocessed_images\person_160\img_03.jpg,D:\biztech\preprocessed_images\person_368\img_03.jpg,0,person_160,person_368,negative,-0.034879
D:\biztech\preprocessed_images\person_072\img_02.jpg,D:\biztech\preprocessed_images\person_033\img_10.jpg,0,person_072,person_033,negative,-0.091446
D:\biztech\preprocessed_images\person_204\img_02.jpg,D:\biztech\preprocessed_images\person_204\img_04.jpg,1,person_204,person_204,positive,0.308591
D:\biztech\preprocessed_images\person_388\img_03.jpg,D:\biztech\preprocessed_images\person_224\img_07.jpg,0,person_388,person_224,negative,0.267906
D:\biztech\preprocessed_images\person_143\img_04.jpg,D:\biztech\preprocessed_images\person_143\img_11.jpg,1,person_143,person_143,positive,0.697111
